avg_clv_abs,avg_clv_pct,avg_ev,bet_count,hit_rate,roi,rows,test_end,test_start,train_end,train_start,window_id,yield
nan,nan,0.189466,6,0.0,0.0,20,2026-03-08 12:46:57.608812+00:00,2026-03-08 12:24:51.792359+00:00,2026-03-08 12:24:51.791251+00:00,2026-03-08 12:09:37.956482+00:00,1,0.0
nan,nan,0.189466,6,0.0,0.0,20,2026-03-08 13:36:11.776085+00:00,2026-03-08 12:46:57.610290+00:00,2026-03-08 12:46:57.608812+00:00,2026-03-08 12:16:56.531585+00:00,2,0.0
nan,nan,0.199665,8,0.0,0.0,20,2026-03-08 14:53:56.619122+00:00,2026-03-08 13:56:07.475894+00:00,2026-03-08 13:36:11.776085+00:00,2026-03-08 12:24:51.693626+00:00,3,0.0
nan,nan,0.17781,7,0.0,0.0,20,2026-03-08 15:07:32.222277+00:00,2026-03-08 14:53:56.621416+00:00,2026-03-08 14:53:56.619122+00:00,2026-03-08 12:46:57.498469+00:00,4,0.0
nan,nan,0.164169,6,0.0,0.0,20,2026-04-27 16:13:03.636253+00:00,2026-03-08 15:07:32.225493+00:00,2026-03-08 15:07:32.222277+00:00,2026-03-08 13:36:11.680871+00:00,5,0.0
nan,nan,0.138872,6,0.0,0.0,20,2026-04-28 05:56:16.926365+00:00,2026-04-27 16:13:03.642418+00:00,2026-04-27 16:13:03.636253+00:00,2026-03-08 13:56:07.591652+00:00,6,0.0
nan,nan,0.14663,7,0.0,0.0,20,2026-04-28 05:56:35.651048+00:00,2026-04-28 05:56:16.931380+00:00,2026-04-28 05:56:16.926365+00:00,2026-03-08 14:53:56.798889+00:00,7,0.0
nan,nan,0.132084,8,0.0,0.0,20,2026-04-28 06:03:27.396988+00:00,2026-04-28 05:56:35.665747+00:00,2026-04-28 05:56:35.651048+00:00,2026-03-08 15:07:32.384059+00:00,8,0.0
nan,nan,0.138872,6,0.0,0.0,20,2026-04-28 10:13:53.481803+00:00,2026-04-28 06:03:27.413226+00:00,2026-04-28 06:03:27.396988+00:00,2026-04-27 16:13:03.821794+00:00,9,0.0
nan,nan,0.138872,6,0.0,0.0,20,2026-04-28 10:16:48.103701+00:00,2026-04-28 10:13:53.500427+00:00,2026-04-28 10:13:53.481803+00:00,2026-04-28 05:56:35.450246+00:00,10,0.0
